config_hash,dataset,detection_delay,false_alarms_per_10000,missed_detections,runtime_mean_s,runtime_std_s
6cce14754b61,synthetic_none,nan,0.000 ± 0.000,0.000 ± 0.000,2.8595624998037237,0.03365457318896118
6cce14754b61,synthetic_sudden,17.600 ± 0.894,0.000 ± 0.000,0.000 ± 0.000,2.8268319246009925,0.014410311039044154
6cce14754b61,synthetic_gradual,943.500 ± 72.832,0.000 ± 0.000,0.600 ± 0.548,2.8712148830061777,0.01746975524054202
6cce14754b61,synthetic_recurring,15.700 ± 1.956,0.000 ± 0.000,0.000 ± 0.000,2.8496109752042686,0.02796485750476112
8f7037aceb93,synthetic_none,nan,93.700 ± 0.274,0.000 ± 0.000,0.3679361799848266,0.03419344121328676
8f7037aceb93,synthetic_sudden,46.800 ± 42.851,93.200 ± 0.274,0.000 ± 0.000,0.3621068599983118,0.011330737286128377
8f7037aceb93,synthetic_gradual,52.000 ± 39.592,93.300 ± 0.274,0.000 ± 0.000,0.33010234000394123,0.012917239291186022
8f7037aceb93,synthetic_recurring,50.300 ± 23.947,92.700 ± 0.274,0.000 ± 0.000,0.3290978000033647,0.011305816958752784
